"RT @WesSmith123: Thanks to Trump - Expect more:

The Short List:
▪️Superstorms
▪️Droughts &amp; Heat Waves
▪️Wild Fires
▪️Disappearing Icecaps…",Sun Dec 02 16:15:21 +0000 2018,,Lynverb,Texas
"RT @JasminMuj: Technically, it's the air pollution poisoning people in Bosnia. But the root cause is three decades of unaccountable, corrup…",Sun Dec 02 16:18:50 +0000 2018,,1o5CleanEnergy,#ClimateBreakdown
"RT @baroncols: Hey, @AberdeenCC maybe imposing free city centre car parking and failing to make any meaningful improvements to cycling infr…",Sun Dec 02 16:18:58 +0000 2018,,ABZ_Cyclecam,"Aberdeen, Scotland"
RT @TomBeshoff: THIS is what scares me the most.  Not the fascist behaviour.  Not the complete denigration of women. Not the total corrupti…,Sun Dec 02 16:18:59 +0000 2018,,Lynverb,Texas
"We should be doing things for which there is broad public support already, which create jobs and which are good in… https://t.co/qZrxlnvnVD",Sun Dec 02 18:16:58 +0000 2018,,sunlorrie,website:
"RT @WendyRedFox: Over a few weeks,natural events in CA dumped enough CO2 into the air to equal the total amount of CO2 emitted for power pr…",Sun Dec 02 18:18:35 +0000 2018,,youroldestfan,
"RT @WesSmith123: Thanks to Trump - Expect more:

The Short List:
▪️Superstorms
▪️Droughts &amp; Heat Waves
▪️Wild Fires
▪️Disappearing Icecaps…",Sun Dec 02 18:18:45 +0000 2018,,SpiritMaterial,Emerging Markets
[South Wales] Sun 02 Dec 2018 at 17:00 hrs air pollution is LOW (3) https://t.co/I5nmXFRBq7,Sun Dec 02 18:19:09 +0000 2018,,UKAirQuality,United Kingdom
"RT @Bugs4US: @JoshuaForSC It is sad that this administration will do anything for 💰

Asbestos ✔
Air Pollution✔
Destroy the EPA✔
Withdrawal…",Sun Dec 02 18:19:09 +0000 2018,,axidentaliberal,
"RT @SamBeharic: With the Air Quality Index (AQI) of 261, #Sarajevo has scored today the highest air pollution value in the world.

Bosnian…",Sun Dec 02 18:19:20 +0000 2018,Sarajevo,NotEasyBNGreen,Washington Metro Area
RT @Harwinder__Kaur: Millions of trees have been planted &amp; are being taken care of by @derasachasauda volunteers by St Dr. @Gurmeetramrahim…,Sun Dec 02 18:19:50 +0000 2018,,ManojInsaan1,Sonipat (Haryana)
RT @krichakapoor: #PriyankaChopra ....hypocracy at its best......now no air pollution and now your dog is not feeling scared.... kindly do…,Sun Dec 02 18:20:25 +0000 2018,PriyankaChopra,jagjitsandhu,"Bangalore, Karnataka"
RT @dpradhanbjp: #NationalPollutionControlDay is observed on 2nd Dec in the memory of thousands of people who lost their lives in the Bhopa…,Sun Dec 02 18:20:50 +0000 2018,NationalPollutionControlDay,Pkanand14,
RT @Amandee78229600: Millions of trees have been planted &amp; are being taken care of by @derasachasauda volunteers by St Dr. @Gurmeetramrahim…,Sun Dec 02 18:20:56 +0000 2018,,ManojInsaan1,Sonipat (Haryana)
RT @WesternRly: Pollution harms the environment which causes adverse changes. Choosing public transport over private vehicles can drastical…,Sun Dec 02 18:21:18 +0000 2018,,PHalcyon,
@PtCreditVoter @fordnation @JustinTrudeau So we should make it unaffordable to run school busses so more parents ha… https://t.co/4fwBkXDC8U,Sun Dec 02 18:21:29 +0000 2018,,joeTracey13,
"RT @PiousSoul2: #NationalPollutionPreventionDay 
Dr, @Gurmeetramrahim ji encourages  farmers to use the left over stalks as fodder for anim…",Sun Dec 02 18:26:06 +0000 2018,NationalPollutionPreventionDay,Taman67872876,
"RT @Enviro_Voter: Unsure if the government is looking out for them, a guerrilla network of “breathers” has turned to personal pollution mon…",Sun Dec 02 18:26:19 +0000 2018,,mary07mac,"Boston, MA"
RT @IndianStandards: India 2016 (NBC 2016) which covers various ways to curb pollution caused by the construction and demolition activities…,Sun Dec 02 18:26:47 +0000 2018,,sushmibhaduri8,THE CITY OF JOY KOLKATA
And if they select one night a week/a month to reduce the illuminations of their buildings,Sun Dec 02 18:26:57 +0000 2018,,bernamila,
Air Pollution Has A Devastating Impact On Children's Health https://t.co/u2s0up8gNJ https://t.co/1QoykCkvZC,Sun Dec 02 18:28:00 +0000 2018,,EcoTopicalNews,Planet Earth
"RT @thekelechikalu: No traffic
No air pollution
Beautiful harmattan weather
Daily drinking of fresh Palmwine
Abacha for lunch
Anụ nchi for…",Sun Dec 02 18:28:20 +0000 2018,,TheBossMajor,Still trynna figure that out.
"RT @sunlorrie: We should be doing things for which there is broad public support already, which create jobs and which are good in and of th…",Sun Dec 02 18:28:37 +0000 2018,,VWPeetso,"Kelowna, Canada"
RT @WesternRly: Pollution harms the environment which causes adverse changes. Choosing public transport over private vehicles can drastical…,Sun Dec 02 18:28:39 +0000 2018,,ramanroy30,Delhi and Mumbai
