Datetime,Causeway Bay,New Territories,Kowloon,Central,Delhi,Mumbai,Cleveland-Elyria-Mentor,Detroit-Warren-Livonia,MONTEZUMA,Minneapolis-St. Paul-Bloomington,New York-Northern New Jersey-Long Island,Plymouth,Swansea,Glasgow,Edinburgh,Leeds,Manchester,Birmingham,London
2018-12-26 12:00:00,,,,,,,0.4,0,,0.36,0.8,,,,,,,,
2018-12-26 13:00:00,976.6,855.6,987.8,991.3,,,,,,,0.5,,,,,,,,
2018-12-26 14:00:00,,,,,,,0.4,0.8,,0.27,0.4,,,,,,,,
2018-12-26 15:00:00,976.6,,987.8,991.3,,,,0,,0.56,,,,,,,,,
2018-12-26 16:00:00,976.6,855.6,987.8,991.3,270,,0.4,,,,0.3,,,,,,,,
2018-12-26 17:00:00,,,,,380,,0.4,0,,,0.3,,,,,,,,
2018-12-26 18:00:00,976.6,855.6,987.8,991.3,,,,,,,0.3,,,,,,,,
2018-12-26 19:00:00,976.6,855.6,987.8,991.3,2970,,0.2,,,,,,,,,,,,
2018-12-26 20:00:00,976.6,,,991.3,1730,,,0,,,0.3,,,,,,,,
2018-12-26 21:00:00,863.8,791.3,855.4,931.2,4210,,,,,,,,,,,,,,
2018-12-26 22:00:00,808.5,828.2,763.7,779.9,2000,,,,,,0.4,,,,,,,,
2018-12-26 23:00:00,905.4,,780.3,821.6,1550,,,,,0.24,0.6,,,,,,,,
2018-12-27 00:00:00,905.4,883,855.4,894.8,5720,,,,,,0.6,,,,,,,,
2018-12-27 01:00:00,905.4,,917.5,903.8,,,,0,,,0.5,,,,,,,,
2018-12-27 02:00:00,905.4,888.4,,,3770,,0.83,0,,,0.5,,,,,,,,
2018-12-27 03:00:00,905.4,,982.3,958.7,,,0.91,0,,,0.43,,,,,,,,
2018-12-27 04:00:00,941.3,,860,960.5,2610,,,,,,0.4,,,,,,,,
2018-12-27 05:00:00,941.3,,751.4,960.5,1810,,,0.4,,,0.4,,,,,,,,
2018-12-27 06:00:00,959.1,,,981.8,1980,,,,,,,,,,,,,,
2018-12-27 07:00:00,959.1,,,,320,,,,,,0.4,,,,,,,,
2018-12-27 08:00:00,959.1,,945.2,952.1,,,0.3,0,,,,,,,,,,,
2018-12-27 09:00:00,959.1,888.1,945.2,989.3,,,,,,0.31,0.26,,,,,,,,
2018-12-27 10:00:00,959.1,,945.2,,310,,0.2,0.4,,0.25,0.2,,,,,,,,
2018-12-27 11:00:00,959.1,,945.2,989.3,,,0.2,0,,0.25,0.6,,,,,,,,
2018-12-27 12:00:00,959.1,979.7,945.2,989.3,1340,,0.3,,,0.26,0.5,,,,,,,,
2018-12-27 13:00:00,,,945.2,987.1,4560,,0.2,,,0.27,0.4,,,,,,,,
2018-12-27 14:00:00,959.1,,,,1690,,,,,0.27,0.4,,,,,,,,
2018-12-27 15:00:00,885.2,,829,755.1,,,0.3,,,,0.3,,,,,,,,
2018-12-27 16:00:00,634.9,,748.9,615.2,1280,,0.3,0,,,0.3,,,,,,,,
2018-12-27 17:00:00,601.7,,579.8,547.5,,,0.3,0,,,,,,,,,,,
2018-12-27 18:00:00,759.2,744.8,679.7,540.5,1030,,0.3,0,,,0.28,,,,,,,,
2018-12-27 19:00:00,,,,,,,,,,,0.32,,,,,,,,
2018-12-27 20:00:00,759.2,,822.6,791.5,,,0.3,0,,,0.28,,,,,,,,
2018-12-27 21:00:00,759.2,836.5,787.6,862.6,,,,0,,,0.3,,,,,,,,
2018-12-27 22:00:00,,,,,2870,,,,,,,,,,,,,,
2018-12-27 23:00:00,892.6,,797.3,918.2,,,0.17,,,,,,,,,,,,
2018-12-28 00:00:00,892.6,,,860.9,190,,,,,,0.3,,,,,,,,
2018-12-28 01:00:00,,,,,220,,0.3,0.4,,,,,,,,,,,
2018-12-28 02:00:00,999.5,854.6,930,961.4,440,,,,,,0.3,,,,,,,,
2018-12-28 03:00:00,,,,,,,0.2,,,,,,,,,,,,
2018-12-28 04:00:00,999.5,,814.6,878.7,440,,,,,,0.3,,,,,,,,
2018-12-28 05:00:00,999.5,,814.6,878.7,440,,,,,,0.3,,,,,,,,
2018-12-28 06:00:00,999.5,,814.6,878.7,440,,,,,,0.3,,,,,,,,
2018-12-28 07:00:00,999.5,,814.6,878.7,440,,,,,,0.3,,,,,,,,
2018-12-28 08:00:00,999.5,,814.6,878.7,440,,,,,,0.3,,,,,,,,
2018-12-28 09:00:00,,801.6,874.7,900.1,440,,,,,,0.2,,,,,,,,
2018-12-28 10:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 11:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 12:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 13:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 14:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 15:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 16:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 17:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 18:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 19:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 20:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 21:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 22:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-28 23:00:00,931.7,786.3,796.2,936.7,,,0.2,0,,,0.2,,,,,,,,
2018-12-29 00:00:00,931.7,866.9,832.3,943.4,440,2100,,,,,,,,,,,,,
2018-12-29 01:00:00,,,,,440,2100,,,,,,,,,,,,,
2018-12-29 02:00:00,,,,,,2100,0.3,0,,0.28,0.4,,,,,,,,
2018-12-29 03:00:00,931.7,823.8,775.2,940.1,,,,,,,,,,,,,,,
2018-12-29 04:00:00,,,,,,,0.2,0,,0.2,0.3,,,,,,,,
2018-12-29 05:00:00,863.4,644.6,634.6,757.5,,,0.2,0,,0.2,0.1,,,,,,,,
2018-12-29 06:00:00,907.7,675.3,632.6,765.4,440,2100,0.2,0,,,0.3,,,,,,,,
2018-12-29 07:00:00,992.3,787.5,654.8,711.9,,2100,0.2,0.4,,,0.27,,,,,,,,
2018-12-29 08:00:00,992.3,687.3,675.2,815.6,440,2100,,,,,0.31,,,,,,,,
2018-12-29 09:00:00,992.3,697.2,712.8,765.7,440,2100,0.2,0,,0.27,0.33,,,,,,,,
2018-12-29 10:00:00,967.9,687.7,710.9,833.8,,,,,,0.18,0.3,,,,,,,,
2018-12-29 11:00:00,987.9,707.9,704.5,848.9,,2100,,,,0.19,0.2,,,,,,,,
2018-12-29 12:00:00,987.9,704.9,749.2,824.6,,,0.2,,,0.19,0.2,,,,,,,,
2018-12-29 13:00:00,,752.7,689.8,828.7,,,,,,,,,,,,,,,
2018-12-29 14:00:00,,,,,,2100,,,,,,,,,,,,,
2018-12-29 15:00:00,,,,,,,0.1,0,,0.2,0.3,,,,,,,,
2018-12-29 16:00:00,963.8,736.6,712.7,699.7,440,,0.1,0,,,0,,,,,,,,
2018-12-29 17:00:00,749.4,736.6,635.6,678.7,,2100,0.1,0,,,0.2,,,,,,,,
2018-12-29 18:00:00,819.5,689.3,643.5,678,440,,,0,,,0.2,,,,,,,,
2018-12-29 19:00:00,880.7,716.4,646.3,,440,2100,,,,,0.3,,,,,,,,
2018-12-29 20:00:00,798,723.4,679.2,709,,,,,,,0.3,,,,,,,,
2018-12-29 21:00:00,,,,,440,,0.2,0,,0.23,0.3,,,,,,,,
