Datetime,Glasgow,Edinburgh,Leeds,Manchester,Birmingham,London,Causeway Bay,New Territories,Kowloon,Central,Delhi,Mumbai,Cleveland-Elyria-Mentor,Detroit-Warren-Livonia,MONTEZUMA,Minneapolis-St. Paul-Bloomington,New York-Northern New Jersey-Long Island,Plymouth,Swansea
2018-12-26 12:00:00,12,26,25,32,14,,,,,,,,0.022,0.027,,0.016,0.034,19,33
2018-12-26 13:00:00,,,,,,38,147.5,134.7,147.6,154.1,,,,,,,0.028,,
2018-12-26 14:00:00,19,27,33,37,12,45,,,,,,,0.018,0.027,,0.01,0.022,24,40
2018-12-26 15:00:00,,23,,,16,,160.3,,111.8,152.2,,,,0.028,,0.017,,21,39
2018-12-26 16:00:00,6,12,37,,22,,142.4,105.1,116,131.8,54.16,,0.015,,,,0.011,,
2018-12-26 17:00:00,,10,45,,27,,,,,,90.84,,0.011,0.016,,,0.011,31,45
2018-12-26 18:00:00,12,24,,,36,,110.9,87.9,101.4,100.2,,,,,,,0.01,23,57
2018-12-26 19:00:00,,16,,,37,,89.5,72.5,54,100.8,149.44,,0.012,,,,,24,50
2018-12-26 20:00:00,,11,41,,31,,73.6,,,104.5,78.09,,,0.014,,,0.014,24,41
2018-12-26 21:00:00,9,7,,,28,,44,39.6,52.2,73.4,38.7,,,,,,,24,37
2018-12-26 22:00:00,,7,21,,28,,39.8,26.9,32.6,45.1,37.7,,,,,,0.025,20,34
2018-12-26 23:00:00,,5,21,,28,,45.6,,31.9,47.1,23.38,,,,,0.006,0.034,20,43
2018-12-27 00:00:00,8,13,36,,18,,55.7,47.9,47,62.3,19.82,,,,,,0.031,33,37
2018-12-27 01:00:00,,20,,,,,62.1,,63.9,75,,,,0.017,,,0.028,,36
2018-12-27 02:00:00,0,4,40,34,16,,72.2,36.1,,,89.27,,0.036,0.018,,,0.026,23,31
2018-12-27 03:00:00,,2,,,16,,62.9,,55.9,79.2,,,0.035,0.017,,,0.027,23,25
2018-12-27 04:00:00,2,2,45,,13,,79.7,,58.7,84.2,70.45,,,,,,0.024,34,28
2018-12-27 05:00:00,,2,45,,13,,104.4,,50.5,80.9,19.07,,,0.005,,,0.017,34,28
2018-12-27 06:00:00,1,4,54,,12,,84.6,,,97.7,62.42,,,,,,,34,35
2018-12-27 07:00:00,,5,,,18,,122.9,,,,24.59,,,,,,0.022,,37
2018-12-27 08:00:00,10,27,,,21,,113.9,,59.5,142.4,,,0.03,0.013,,,,45,41
2018-12-27 09:00:00,18,32,,,30,,114.6,112.8,47,112.7,,,,,,0.006,0.024,,64
2018-12-27 10:00:00,,33,,,33,,109.6,,59.8,,61.77,,0.026,0.009,,0.006,0.025,44,50
2018-12-27 11:00:00,26,32,72,,36,,103.8,,63.2,98.5,,,0.018,0.007,,0.006,0.028,32,39
2018-12-27 12:00:00,28,25,72,,43,,81.4,53.3,63.6,90.6,65.63,,0.02,,,0.007,0.029,30,43
2018-12-27 13:00:00,15,25,59,,39,,,,43.5,76.9,45.44,,0.005,,,0.008,0.024,35,55
2018-12-27 14:00:00,,,,,,,76,,,,20.86,,,,,0.008,0.02,,
2018-12-27 15:00:00,17,22,,,42,,69.5,,71.7,56.6,,,0.006,,,,0.015,46,47
2018-12-27 16:00:00,15,15,50,56,47,,48.8,,21.1,57.5,46.07,,0.017,0.008,,,0.012,47,56
