Datetime,Glasgow,Edinburgh,Leeds,Manchester,Birmingham,London,Causeway Bay,New Territories,Kowloon,Central,Delhi,Mumbai,Cleveland-Elyria-Mentor,Detroit-Warren-Livonia,MONTEZUMA,Minneapolis-St. Paul-Bloomington,New York-Northern New Jersey-Long Island,Plymouth,Swansea
2018-12-26 12:00:00,35,34,16,9,27,,,,,,,,0.011,0.003,0.036,0.001,0.002,29,
2018-12-26 13:00:00,,,,,,20,2.1,2.3,2.8,1.7,,,,,,,0.002,,
2018-12-26 14:00:00,32,29,15,7,29,23,,,,,,,0.016,0.006,0.024,0.007,0.006,31,
2018-12-26 15:00:00,,28,,,30,,2.2,,3,1.1,,,,0.009,0.019,0.003,,33,
2018-12-26 16:00:00,31,29,14,,30,,1,2.4,0.7,2,37.27,,0.019,,,,0.017,,
2018-12-26 17:00:00,,29,14,,29,,,,,,30.4,,0.023,0.017,0,,0.026,37,
2018-12-26 18:00:00,30,30,,,27,,1.6,3,18.2,1.4,,,,,0,,0.027,38,
2018-12-26 19:00:00,,31,,,26,,1.7,5.4,25.9,1.2,13.72,,0.022,,0,,,38,
2018-12-26 20:00:00,,33,14,,25,,5.3,,,0.3,23.52,,,0.026,0,,0.024,37,
2018-12-26 21:00:00,30,35,,,23,,20,21.6,16.1,16.3,34.68,,,,0.04,,,35,
2018-12-26 22:00:00,,37,18,,21,,20,24.8,19.1,27.3,146.6,,,,0.039,,0.002,34,
2018-12-26 23:00:00,,39,18,,19,,8.2,,18.4,8,4.26,,,,0.04,0.018,0.001,33,
2018-12-27 00:00:00,28,38,21,,19,,4.3,11.1,12.2,4.2,5.05,,,,0.039,,0.003,30,
2018-12-27 01:00:00,,37,,,,,3.9,,3.7,4,,,,0.006,0.039,,0.005,,
2018-12-27 02:00:00,31,40,24,4,21,,3.6,15.2,,,42.56,,0.001,0.006,0.037,,0.002,26,
2018-12-27 03:00:00,,42,,,22,,5.8,,17.2,4.3,,,0.001,0.004,0.037,,0.002,25,
2018-12-27 04:00:00,32,43,22,,22,,11.8,,29.3,10.7,41.05,,,,0.037,,0.001,20,
2018-12-27 05:00:00,,44,22,,22,,9.9,,45.9,17.7,16.56,,,0.008,0.038,,0.002,19,
2018-12-27 06:00:00,33,44,14,,23,,21.6,,,20.8,53.32,,,,,,,13,
2018-12-27 07:00:00,,45,,,22,,13.7,,,,35.63,,,,0.038,,0.018,,
2018-12-27 08:00:00,32,44,,,20,,24.3,,81.1,9.6,,,0.001,0.008,0.038,,,7,
2018-12-27 09:00:00,31,44,,,18,,32.4,51.5,94.4,39,,,,,,0.02,0.01,,
2018-12-27 10:00:00,,41,,,16,,20.8,,63.1,,48.37,,0.006,0.008,0,0.023,0.013,4,
2018-12-27 11:00:00,26,38,2,,14,,17.1,,44.9,28.3,,,0.011,0.016,0,0.022,0.011,3,
2018-12-27 12:00:00,23,35,1,,12,,21.4,50.2,31,21.2,57.59,,0.008,,0,0.022,0.007,4,
2018-12-27 13:00:00,20,33,2,,10,,,,35.2,22.2,28.94,,0.008,,0.039,0.02,0.018,6,
2018-12-27 14:00:00,,,,,,,14.7,,,,15.01,,,,0.039,0.02,0.027,,
2018-12-27 15:00:00,18,28,,,8,,19.8,,18.4,33,,,0.013,,0.04,,0.019,10,
2018-12-27 16:00:00,16,29,5,3,7,,39.2,,64,39.9,21.06,,0.018,0.021,0.039,,0.027,12,
2018-12-27 17:00:00,14,30,5,,6,3,44.6,,68.7,55.6,,,0.018,0.021,,,,13,
2018-12-27 18:00:00,,31,,,6,,43.3,37.9,64.7,56.2,15.18,,0.018,0.017,0.042,,0.018,,
2018-12-27 19:00:00,,29,,,6,,,,,,,,,,0.041,,0.013,12,
2018-12-27 20:00:00,,30,,,6,,23.8,,25.1,25.4,,,0.017,0.019,0.039,,0.015,11,
2018-12-27 21:00:00,,31,,,5,,22.4,30.9,27.3,10.2,,,,0.019,0.042,,0.009,10,
2018-12-27 22:00:00,11,33,,,4,,,,,,14.95,,,,0.041,,,7,
2018-12-27 23:00:00,,34,,,3,,12.9,,14.8,7.4,,,0.024,,0.04,,,5,
2018-12-28 00:00:00,,34,9,,5,,4.5,,,7.1,27.89,,,,,,0.005,3,
2018-12-28 01:00:00,15,36,,,,,,,,,27.38,,0.029,0.025,,,,,
2018-12-28 02:00:00,18,38,,,16,,7.6,19.6,15.7,7.6,27.41,,,,0.035,,0.016,,
2018-12-28 03:00:00,,42,,,18,,,,,,,,0.037,,0.035,,,2,
2018-12-28 04:00:00,,,,,24,,10.3,,44.2,17.5,27.41,,,,,,0.015,2,
2018-12-28 05:00:00,,,,,,,,52.1,22.7,24.7,27.41,,,,0.038,,0.013,,
2018-12-28 06:00:00,,,,,,,,52.1,22.7,24.7,27.41,,,,0.038,,0.013,,
2018-12-28 07:00:00,,,,,,,,52.1,22.7,24.7,27.41,,,,0.038,,0.013,,
2018-12-28 08:00:00,,,,,,,,52.1,22.7,24.7,27.41,,,,0.038,,0.013,,
2018-12-28 09:00:00,,,,,,,,52.1,22.7,24.7,27.41,,,,0.038,,0.013,,
2018-12-28 10:00:00,37,48,34,10,33,,29.2,69.1,80.9,34.1,,,0.025,0.025,0.037,,0.02,2,
2018-12-28 11:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 12:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 13:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 14:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 15:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 16:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 17:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 18:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 19:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 20:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 21:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 22:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-28 23:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-29 00:00:00,41,50,37,,36,,26.5,68.9,53.5,28.5,27.41,,,,,,,2,
2018-12-29 01:00:00,44,51,38,10,36,,,,,,27.41,,,,,,,2,
2018-12-29 02:00:00,45,50,29,4,30,,,,,,,,0.011,0.013,0.039,0.026,0,2,
2018-12-29 03:00:00,,,,,,6,5,16.5,12.5,4,,,,,,,,,
2018-12-29 04:00:00,,,,,,,,,,,,,0.016,0.012,0.036,0.032,0.015,,
2018-12-29 05:00:00,37,53,32,19,39,18,11.8,26,19.4,8,,,0.016,0.012,0.036,0.031,0.021,10,
2018-12-29 06:00:00,37,54,39,22,47,24,10,30.1,33.7,13.7,27.41,,0.015,0.012,0.036,,0.017,18,
2018-12-29 07:00:00,37,56,44,29,51,,9.3,28.3,35.4,10.2,,,0.014,0.011,0.035,,0.02,24,
2018-12-29 08:00:00,37,59,49,33,54,,9.9,26.1,23.9,4.5,27.41,,,,0.036,,0.01,28,
2018-12-29 09:00:00,37,61,53,36,54,40,6,17.9,18.1,3.8,27.41,,0.014,0.012,0.036,0.03,0.006,33,
2018-12-29 10:00:00,,62,,,54,,4.8,13.4,10.9,2.6,,,,,0.036,0.026,0.005,38,
2018-12-29 11:00:00,,62,,,54,,4.3,12.7,10.7,2.4,,,,,0.038,0.026,0.024,42,
2018-12-29 12:00:00,,62,57,30,53,,5.4,15.1,9.2,2.1,,,0.013,,0.037,0.027,0.017,43,
2018-12-29 13:00:00,,62,57,,53,,,15.5,16.8,3.7,,,,,,,,44,
2018-12-29 14:00:00,,61,,,54,,,,,,,,,,,,,,
2018-12-29 15:00:00,,,,,,,,,,,,,0.018,0.025,0.036,0.026,0.026,,
2018-12-29 16:00:00,37,57,62,35,55,,12.1,21.8,29.7,17.4,27.41,,0.019,0.023,0.036,,0.026,44,
2018-12-29 17:00:00,37,54,62,,55,,17.8,30.2,20.2,24.4,,,0.019,0.025,0.038,,0.025,44,
2018-12-29 18:00:00,,51,61,,55,,20.3,28.9,30.5,23.7,27.41,,,0.028,0.041,,0.025,42,
2018-12-29 19:00:00,,48,,,54,,13.5,19.2,25.6,,27.41,,,,0.04,,0.022,42,
2018-12-29 20:00:00,,46,56,34,53,32,8.8,9.5,19,11.5,,,,,,,0.019,43,
2018-12-29 21:00:00,37,46,53,29,50,,,,,,27.41,,0.025,0.028,0.039,0.029,0.013,43,
2018-12-29 22:00:00,,46,48,24,44,,12,21.1,12.4,11.3,27.41,,0.025,0.022,,,,43,
2018-12-29 23:00:00,37,,,,42,,8.3,18,10.9,9.4,,,,,0.037,,0.006,,
2018-12-30 00:00:00,37,48,43,15,31,16,,,,,,,0.025,0.021,0.038,0.021,0.004,44,
2018-12-30 01:00:00,,48,,,,36,5.1,,10.2,4.1,27.41,,0.02,0.02,0.038,,0.01,,
2018-12-30 02:00:00,37,50,39,14,25,35,5.7,,13.5,4.1,27.41,,0.016,,,,,49,
2018-12-30 03:00:00,37,51,39,,21,7,6.9,22.9,16.7,4.7,27.41,,,0.021,0.035,,0.018,,
2018-12-30 04:00:00,,50,37,4,22,,,,,,27.41,,,,0.036,,0.017,50,
2018-12-30 05:00:00,37,48,37,7,19,,8.1,,33.2,9.1,27.41,,0.021,,0.035,,0.018,51,
2018-12-30 06:00:00,,47,38,8,23,,,,,9.5,27.41,,0.018,0.011,0.035,,0.019,53,
2018-12-30 07:00:00,37,46,39,11,28,13,11.5,,36.1,,27.41,,0.018,0.013,0.036,,0.024,53,
2018-12-30 08:00:00,37,48,40,12,33,9,,,29.7,7,,,0.017,0.014,,0.018,,52,
2018-12-30 09:00:00,37,50,41,12,35,,7.6,,29.1,8.1,27.41,,0.016,0.014,0.035,0.017,0.022,51,
2018-12-30 10:00:00,37,52,42,13,38,,7.3,,,4.1,27.41,,,0.019,0.036,0.017,0.022,49,
2018-12-30 11:00:00,37,54,44,12,40,,6.8,,,3.2,27.41,,0.018,0.019,0.035,0.014,0.019,48,
2018-12-30 12:00:00,37,57,45,12,43,,8,,,3.5,27.41,,0.016,0.02,0.035,0.023,0.015,47,
2018-12-30 13:00:00,37,,,11,46,,11.3,,18.7,4.2,27.41,,0.018,0.02,0.035,0.016,,46,
2018-12-30 14:00:00,37,,,11,46,,11.3,,18.7,4.2,27.41,,0.018,0.02,0.035,0.016,,46,
2018-12-30 15:00:00,37,,,11,46,,11.3,,18.7,4.2,27.41,,0.018,0.02,0.035,0.016,,46,
2018-12-30 16:00:00,,,,,,,8.1,,17.4,4,27.41,,,,,,,,
2018-12-30 17:00:00,37,59,45,26,49,,,,,,,,0.021,0.021,0.036,0.019,0.018,46,
2018-12-30 18:00:00,,57,44,20,51,33,,,,4,27.41,,,,,,,46,
2018-12-30 19:00:00,,,,,52,,,,,,,,,,,0.022,,,
2018-12-30 20:00:00,37,50,44,26,,,,,,,,,0.03,0.025,0.036,,0.01,47,
2018-12-30 21:00:00,,50,46,24,51,,21.4,,17.8,8.5,,,0.029,0.023,0.038,,0.005,46,
2018-12-30 22:00:00,37,49,48,23,51,,16.9,,,,27.41,,,,0.039,,0.003,45,
2018-12-30 23:00:00,37,50,48,,51,,12.9,18,7.8,3,,,,0.015,0.039,,0.006,45,
2018-12-31 00:00:00,37,51,50,22,50,,5.1,10.8,9.7,2.9,27.41,,,,0.037,0.016,0.002,48,
2018-12-31 01:00:00,,52,,,,,,9.6,5.7,2.5,27.41,,,0.011,,,,,
2018-12-31 02:00:00,37,,,11,53,,3.7,,,,27.41,,,,,0.016,0,,
2018-12-31 03:00:00,,,,,54,,,,,,,,,,0.033,,0,51,
2018-12-31 04:00:00,,55,,,59,,5.6,14.1,9.5,4.2,,,0.01,,0.032,,0,55,
2018-12-31 05:00:00,,56,,,59,,6.4,22,14.7,5,,,,0.006,0.031,,0,56,
2018-12-31 06:00:00,,57,56,,60,,6.8,24.6,18.5,9.3,27.41,,,,0.034,,0,59,
2018-12-31 07:00:00,,58,57,,61,,9.2,25.4,17.2,8.8,,,0.006,,0.031,,0.011,60,
2018-12-31 08:00:00,,58,56,,61,,6.8,,40.2,3.7,,,,0,0.031,,,60,
2018-12-31 09:00:00,37,59,54,25,,,,,,,,,,,,,,60,
2018-12-31 10:00:00,,,,,,,,,,,,,,,0.03,,0,,
2018-12-31 11:00:00,37,59,53,23,55,46,,,,,,,0.002,0.001,,0.015,0,56,
2018-12-31 12:00:00,37,59,52,23,53,,5,,1.8,2.1,27.41,,0.002,0.004,0.03,0.015,,54,
2018-12-31 13:00:00,,,,,,,,,,,,,,,,,,,
