Datetime,Causeway Bay,New Territories,Kowloon,Central,Delhi,Mumbai,Cleveland-Elyria-Mentor,Detroit-Warren-Livonia,MONTEZUMA,Minneapolis-St. Paul-Bloomington,New York-Northern New Jersey-Long Island,Plymouth,Swansea,Glasgow,Edinburgh,Leeds,Manchester,Birmingham,London
2018-12-27 21:00:00,17.2,17.4,18.9,18.3,,,,5.8,,,12.8,18,19,,9,,,19,
2018-12-26 18:00:00,54.9,28.4,57.4,65.7,,,,,,,14.8,14,16,11,8,,,13,
2018-12-26 18:30:00,,,,,284.86,,,,,,,,,,,,,,
2018-12-27 01:00:00,34.9,,25,31.7,,,,6.8,,,12.1,,14,,9,,,,
2018-12-27 11:00:00,25.6,,20.9,23.2,,,23.8,13.3,,7,16.9,14,16,11,9,13,,16,
2018-12-27 14:15:00,,,,,191.16,,,,,,,,,,,,,,
2018-12-26 20:30:00,,,,,431.47,,,,,,,,,,,,,,
2018-12-27 13:30:00,,,,,,49,,,,,,,,,,,,,
2018-12-27 02:15:00,,,,,493.39,,,,,,,,,,,,,,
2018-12-26 17:00:00,,,,,,,20.4,15.9,,,15.9,14,16,,8,17,,13,
2018-12-28 07:30:00,,,,,281,58,,,,,,,,,,,,,
2018-12-27 01:30:00,,,,,549.24,75,,,,,,,,,,,,,
2018-12-27 22:00:00,,,,,,,,,,,,19,19,13,9,,,19,
2018-12-27 02:00:00,34.6,24,,,,,33.2,10.1,,,19.7,12,14,11,9,14,18,14,
2018-12-27 12:00:00,35.5,27.5,21,24.1,,,31.7,,,5,13.9,13,16,12,9,13,,16,
2018-12-28 05:00:00,,18.3,23.1,29.1,,,,,,,9,,,,,,,,
2018-12-26 16:00:00,66.9,31,34.1,67.5,,,14.8,,,,12.1,,,11,8,17,,13,
2018-12-27 16:30:00,,,,,,75,,,,,,,,,,,,,
2018-12-27 10:30:00,,,,,,39,,,,,,,,,,,,,
2018-12-27 03:00:00,30.5,,21,25.7,,,28.9,12.1,,,15.9,13,14,,9,,,14,
2018-12-27 13:00:00,,,23.9,24.9,,,10.6,,,5,10,13,17,12,9,14,,16,
2018-12-27 23:00:00,22.3,,18,21.1,,,12.4,,,,,20,19,,9,,,19,
2018-12-28 04:00:00,27.5,,26.4,26.9,,,,,,,9,24,18,,,,,16,
2018-12-28 14:00:00,40.7,19.9,20.6,22.7,,,,,,,,,,,,,,,45
2018-12-26 23:00:00,32.6,,27,35.9,268.89,,,,,13,8.1,12,14,,9,15,,13,
2018-12-28 04:30:00,,,,,202,62,,,,,,,,,,,,,
2018-12-27 04:30:00,,,,,471.84,80,,,,,,,,,,,,,
2018-12-27 21:30:00,,,,,157.53,,,,,,,,,,,,,,
2018-12-26 22:00:00,30.2,21.8,26,37.6,834,,,,,,8,12,15,,9,16,,13,
2018-12-27 14:00:00,32.2,,,,,,,,,9,10.1,,,,,,,,
2018-12-27 11:45:00,,,,,89.7,,,,,,,,,,,,,,
2018-12-28 07:00:00,32.9,24.2,28.3,28,,,,,,,,25,17,11,8,11,,15,
2018-12-26 16:30:00,,,,,235.58,,,,,,,,,,,,,,
2018-12-28 01:45:00,,,,,162.56,,,,,,,,,,,,,,
2018-12-27 16:15:00,,,,,309.07,,,,,,,,,,,,,,
2018-12-27 15:30:00,,,,,,54,,,,,,,,,,,,,
2018-12-27 10:15:00,,,,,50.08,,,,,,,,,,,,,,
2018-12-26 17:15:00,,,,,426.51,,,,,,,,,,,,,,
2018-12-27 05:00:00,32.7,,22.1,22.6,,,,3.6,,,16,12,14,,9,13,,14,
2018-12-27 15:00:00,25,,19.1,21.5,,,23.4,,,,6.4,13,17,12,9,,,17,
2018-12-28 06:00:00,34.6,20.3,26.8,26.2,,,9.2,6.4,,,10.9,24,18,11,8,11,18,15,
2018-12-28 01:30:00,,,,,,54,,,,,,,,,,,,,
2018-12-27 03:30:00,,,,,400.31,114,,,,,,,,,,,,,
2018-12-27 18:29:00,,,,,242.22,,,,,,,,,,,,,,
2018-12-26 21:00:00,28.7,17,26.1,57,653,,,,,,,13,15,10,9,,,13,
2018-12-26 15:00:00,72.2,,38.9,66.5,,,,14.5,,7,,14,16,,8,,,13,
2018-12-28 01:00:00,,,,,,,13.8,7.4,,,,,19,13,8,,,,
2018-12-27 06:00:00,33.7,,,24.4,,,,,,,,12,14,12,9,13,,14,
