Timestamp,Date,Time,Location,pm25,pm10,no2,o3,co,,
,,,,,,,,,,
2018-12-28T14:00:00.000Z,28-12-18,00:00.0,Causeway Bay,40.7,58.2,94.8,5,931.7,,
2018-12-28T14:00:00.000Z,28-12-18,00:00.0,New Territories,19.9,27.9,42.2,16.5,823.8,,
2018-12-28T14:00:00.000Z,28-12-18,00:00.0,Kowloon,20.6,30.9,53.2,12.5,775.2,,
2018-12-28T14:00:00.000Z,28-12-18,00:00.0,Central,22.7,42.1,75.2,4,940.1,,
2018-12-28T07:30:00.000Z,28-12-18,30:00.0,Delhi,281,234.74,65.64,27.41,440,,
2018-12-28T12:30:00.000Z,28-12-18,30:00.0,Mumbai,55,152.88,,,2100,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,13.6,23,0.022,0.011,0.3,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,0.3,8,0.017,0.013,0,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,MONTEZUMA,,,,0.039,,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,5,4,0.01,0.026,0.28,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,14.9,17,0.026,0,0.4,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Plymouth,27,30,64,2,,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Swansea,17,20,46,,,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Glasgow,9,14,16,45,,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Edinburgh,7,10,26,50,,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Leeds,7,15,42,29,,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Manchester,12,15,48,4,,,
2018-12-28T13:00:00.000Z,28-12-18,00:00.0,Birmingham,12,,22,30,,,
2018-12-28T14:00:00.000Z,28-12-18,00:00.0,London,45,52,42,6,,,
2018-12-28T08:00:00.000Z,28-12-18,00:00.0,Plymouth,25,28,24,2,,,
2018-12-28T08:00:00.000Z,28-12-18,00:00.0,Swansea,17,21,35,,,,
2018-12-28T08:00:00.000Z,28-12-18,00:00.0,Glasgow,11,16,1,44,,,
2018-12-28T08:00:00.000Z,28-12-18,00:00.0,Edinburgh,8,13,5,51,,, 
2018-12-28T08:00:00.000Z,28-12-18,00:00.0,Leeds,10,18,35,38,,,
2018-12-28T08:00:00.000Z,28-12-18,00:00.0,Manchester,17,19,42,10,,,
2018-12-28T08:00:00.000Z,28-12-18,00:00.0,Birmingham,14,,28,36,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,43,5,,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Causeway Bay,32.9,52.1,121,26.5,931.7,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,New Territories,24.2,42.6,72.7,68.9,866.9,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Kowloon,28.3,38.3,78.1,53.5,832.3,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Central,28,43.6,116.3,28.5,943.4,,
2018-12-28T07:30:00.000Z,28-12-18,30:00.0,Delhi,281,234.74,65.64,27.41,440,,
2018-12-28T07:30:00.000Z,28-12-18,30:00.0,Mumbai,58,152.88,,,2100,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,9.2,16,0.012,0.025,0.2,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,6.4,8,0.031,0.025,0,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,MONTEZUMA,,,,0.037,,,
2018-12-27T14:00:00.000Z,27-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,4,-1,0.007,0.019,0.29,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,10.9,15,0.011,0.02,0.2,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Plymouth,25,27,25,2,,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Swansea,17,21,28,,,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Glasgow,11,16,0,41,,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Edinburgh,8,13,3,50,,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Leeds,11,20,16,37,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Manchester,17,20,31,11,,,
2018-12-28T07:00:00.000Z,28-12-18,00:00.0,Birmingham,15,,20,36,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,43,5,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Causeway Bay,34.6,51.4,85.5,29.2,931.7,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,New Territories,20.3,32.4,65.9,69.1,786.3,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Kowloon,26.8,35.5,49,80.9,796.2,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Central,26.2,38.9,92.5,34.1,936.7,,
2018-12-28T06:30:00.000Z,28-12-18,30:00.0,Delhi,246,234.74,65.64,27.41,440,,
2018-12-28T06:30:00.000Z,28-12-18,30:00.0,Mumbai,278,152.88,,,2100,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,14.5,18,0.002,0.029,0.2,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,4.4,4,0.026,0.026,0,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,MONTEZUMA,,,,0.038,,,
2018-12-27T14:00:00.000Z,27-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,2,0,0.004,0.022,0.23,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,9,14,0.012,0.013,0.2,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Plymouth,24,27,24,2,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Swansea,18,21,25,,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Glasgow,11,16,14,37,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Edinburgh,8,13,2,48,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Leeds,11,20,16,34,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Manchester,18,21,31,10,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Birmingham,15,,13,33,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,43,1,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Causeway Bay,27.5,43.8,92.8,10.3,999.5,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,New Territories,18.3,26.9,37.9,52.1,801.6,,
