Timestamp,Date,Time,Location,pm25,pm10,no2,o3,co,,
,,,,,,,,,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Glasgow,10,16,93,19,,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Edinburgh,10,17,32,31,,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Leeds,14,25,26,37,,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Manchester,20,27,41,12,,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Birmingham,17,,51,28,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,London,24,30,63,41,,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Causeway Bay,64.3,113.4,48.1,1.4,852.8,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,New Territories,64.1,107,33.3,6,877.6,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Kowloon,56.6,115.8,52.1,0.2,945.2,,
2019-01-05T19:00:00.000Z,2019-01-05,19:00:00.000,Central,74.8,131.3,51.3,1.4,920.7,,
2019-01-05T18:30:00.000Z,2019-01-05,18:30:00.000,Delhi,241,404.48,31.32,24.15,3910,,
2019-01-05T18:30:00.000Z,2019-01-05,18:30:00.000,Mumbai,146,257.12,55.24,72.31,2930,,
2019-01-05T18:00:00.000Z,2019-01-05,18:00:00.000,Cleveland-Elyria-Mentor,30.8,17,0.011,0.017,0.4,,
2019-01-05T18:00:00.000Z,2019-01-05,18:00:00.000,Detroit-Warren-Livonia,12.2,22,0.01,0.022,0,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,MONTEZUMA,,,,0.045,,,
2019-01-05T18:00:00.000Z,2019-01-05,18:00:00.000,Minneapolis-St. Paul-Bloomington,2,14,0.003,0.031,0.2,,
2019-01-05T17:00:00.000Z,2019-01-05,17:00:00.000,New York-Northern New Jersey-Long Island,7,7,0.011,0.014,0.2,,
2019-01-05T18:00:00.000Z,2019-01-05,18:00:00.000,Plymouth,23,28,51,23,,,
