Timestamp,Date,Time,Text,User,Tag,Location ,Specific,General location
Fri Dec 28 15:37:12 ,Fri Dec 28,15:37:12,RT @NYTimesPR: .@EricLiptonNYT spoke about his reporting with @JoyAnnReid @MSNBC https://t.co/r0eXFWBr1Y https://t.co/h7FTeApVWL,laura__3_14,,OutsideTheBeltway,other,-
Fri Dec 28 15:36:59 ,Fri Dec 28,15:36:59,RT @sloughadar3: @yourHeathrow @HeathrowAirport There are no 'fun facts' connected to Heathrow Airport; just misery for millions of people…,EastReadingAG,,"Reading, England",England,UK
Fri Dec 28 15:36:13 ,Fri Dec 28,15:36:13,RT @ABC: Indian authorities order firefighters to sprinkle water from high-rise buildings to settle dust and stop garbage fires amid air po…,deafstrong71,,"Chicago, London",London,UK
Fri Dec 28 15:34:43 ,Fri Dec 28,15:34:43,"RT @StopAdaniCairns: The last thing India needs is more coal.

#StopAdani 

#auspol #qldpol 

#ClimateStrike #ExtinctionRebellion #SchoolSt…",EinsteinKaleath,"StopAdani,auspol,qldpol,ClimateStrike,ExtinctionRebellion",Detroit,other,-
Fri Dec 28 15:33:29 ,Fri Dec 28,15:33:29,"RT @kim_harding: Each car in London costs NHS and society £8,000 due to air pollution, report finds https://t.co/ov6GbONOCw 'We know the he…",johannesbirgir,,"Kópavogur, Iceland",other,-
Fri Dec 28 15:33:00 ,Fri Dec 28,15:33:00,@yoavgonen @SallyGold @NYCMayor He should start with canceling the tourist helicopter franchise that creates unnece… https://t.co/JVtHLAmPa9,Adrian_Benepe,,"New York, NY",York,UK
Fri Dec 28 15:32:57 ,Fri Dec 28,15:32:57,"...three common air pollutants: nitrogen dioxide, ozone and small particulate matter...during the seven-day window… https://t.co/vBl7nGXwcA",BreatheUtah,,Utah,Utah,US
Fri Dec 28 15:32:52 ,Fri Dec 28,15:32:52,"RT @EricEatsPickles: @CHAIRRDRF @kim_harding Indeed - everything has improved so much since then.
On the other hand, we're all a lot stupid…",Pierheadearhead,,,n/a,-
Fri Dec 28 15:32:10 ,Fri Dec 28,15:32:10,"Let's segregate our waste with _WeMeanToClean and reduce our contribution to air and water pollution
Visit:… https://t.co/Q1Hz3E1DSC",ArunAgarwal__,,"New Delhi, India","India,Delhi",IN
Fri Dec 28 15:31:19 ,Fri Dec 28,15:31:19,"RT @nytimes: In Texas, emissions from the W.A. Parish power plant have been linked to as many as 180 premature deaths per year. Trump’s EPA…",LohnesMary,,,n/a,-
Fri Dec 28 15:30:46 ,Fri Dec 28,15:30:46,"Let's segregate our waste with @_WeMeanToClean and reduce our contribution to air and water pollution
Visit:… https://t.co/bIpNKS8ONt",sureshkumar0023,,"New Delhi, India","India,Delhi",IN
Fri Dec 28 15:30:46 ,Fri Dec 28,15:30:46,RT @gazza_d: A reminder of how much strain driving puts on the NHS. And people want free parking. They may as well hand out free cigarettes…,CyclingMikey,,"London, neBhasikoro",London,UK
Fri Dec 28 15:30:41 ,Fri Dec 28,15:30:41,"RT @EricLiptonNYT: PART III:  How Much Is Clean Air Worth To YOU? Scene: HOUSTON, Tx. The Obama EPA moved in Dec. 2016 to mandate that nine…",appliedsoft,,"Florida, USA","US,Florida",US
Fri Dec 28 15:30:30 ,Fri Dec 28,15:30:30,"Air pollution may be the culprit behind patients' dry eye complaints, depending on your practice's location.… https://t.co/lmXElMgw4N",OptometryTimes,,"Cleveland, Philadelphia",Cleveland,UK
Fri Dec 28 15:30:26 ,Fri Dec 28,15:30:26,"Let's segregate our waste with @_WeMeanToClean and reduce our contribution to air and water pollution
Visit:… https://t.co/HBPPLXxzKd",SaafDilli,,"New Delhi, India","India,Delhi",IN
Fri Dec 28 15:30:15 ,Fri Dec 28,15:30:15,"Let's segregate our waste with @_WeMeanToClean and reduce our contribution to air and water pollution
Visit:… https://t.co/yGdzMNpizB",SwatiBhalla23,,"New Delhi, India","India,Delhi",IN
Fri Dec 28 15:30:13 ,Fri Dec 28,15:30:13,"Let's segregate our waste with @_WeMeanToClean and reduce our contribution to air and water pollution
Visit:… https://t.co/UYHfcrV0OK",ManishKhurana,,"New Delhi, Delhi",Delhi,IN
Fri Dec 28 15:30:07 ,Fri Dec 28,15:30:07,"#DELHI, LET'S SEGREGATE OUR WASTE!
We can help. Visit: https://t.co/rEAze3mBg7
It can help reduce contribution to a… https://t.co/ek7ffni0Nn",_WeMeanToClean,DELHI,"New Delhi, Delhi",Delhi,IN
Fri Dec 28 15:29:57 ,Fri Dec 28,15:29:57,"RT @PIB_India: Comprehensive and Coordinated Efforts Required to Free Delhi of Air and Water #pollution : @nitin_gadkari 
Union Minister @n…",LakhichandA,pollution,,n/a,-
