Datetime,IN,-,UK,US,HK
26-12-18 13:00,3,5,2,3,
26-12-18 14:00,29,71,11,8,
26-12-18 15:00,29,43,7,3,1
26-12-18 16:00,3,25,1,2,
26-12-18 17:00,29,76,8,20,1
26-12-18 18:00,26,68,62,15,
26-12-18 19:00,6,486,59,152,2
26-12-18 20:00,4,322,36,109,
26-12-18 21:00,1,204,36,69,
26-12-18 22:00,1,172,27,49,
26-12-18 23:00,5,138,18,34,
27-12-18 0:00,5,139,14,39,
27-12-18 1:00,11,162,17,60,
27-12-18 2:00,21,128,12,46,
27-12-18 3:00,33,122,8,38,1
27-12-18 4:00,38,98,8,26,
27-12-18 5:00,30,104,8,14,
27-12-18 6:00,50,105,58,34,1
27-12-18 7:00,34,137,21,27,
27-12-18 8:00,27,119,26,14,
27-12-18 9:00,26,103,35,13,
27-12-18 10:00,36,107,43,11,
27-12-18 11:00,33,117,35,24,
27-12-18 12:00,22,127,31,22,
27-12-18 13:00,42,159,36,46,2
27-12-18 14:00,54,244,37,48,
27-12-18 15:00,54,168,15,42,1
27-12-18 16:00,20,142,19,35,
27-12-18 17:00,9,156,41,42,
27-12-18 18:00,28,110,32,32,
27-12-18 19:00,15,241,33,34,
27-12-18 20:00,7,121,17,29,
27-12-18 21:00,2,93,16,23,
27-12-18 22:00,2,98,28,16,
27-12-18 23:00,1,81,23,22,
28-12-18 0:00,4,59,15,14,
28-12-18 1:00,14,99,10,20,
28-12-18 2:00,17,99,9,24,
28-12-18 3:00,25,110,6,40,
28-12-18 4:00,25,132,10,60,
28-12-18 5:00,24,113,29,17,
28-12-18 6:00,23,74,11,21,
28-12-18 7:00,23,65,14,17,
28-12-18 8:00,18,108,38,15,
28-12-18 9:00,3,24,10,4,
28-12-18 10:00,15,82,36,9,1
28-12-18 11:00,23,115,34,11,1
28-12-18 12:00,18,114,32,15,
28-12-18 13:00,29,148,28,13,
28-12-18 14:00,24,125,17,27,
28-12-18 15:00,14,49,16,12,
28-12-18 16:00,14,49,16,12,
28-12-18 17:00,14,49,16,12,
28-12-18 18:00,14,49,16,12,
